aX,aY,aZ,gX,gY,gZ
-0.029,-0.908,-0.225,-0.732,15.076,-20.020
0.043,-1.009,-0.245,3.601,20.691,-30.273
-0.019,-1.094,-0.324,5.066,30.273,-37.415
-0.036,-1.148,-0.364,4.700,41.199,-39.673
-0.095,-1.159,-0.596,2.258,54.199,-38.635
-0.101,-1.130,-0.783,7.385,63.110,-36.682
-0.181,-1.117,-0.894,16.846,61.584,-33.447
-0.224,-1.159,-1.035,15.625,56.030,-28.931
-0.266,-1.128,-1.172,11.902,50.659,-23.743
-0.352,-1.144,-1.295,15.259,41.443,-19.531
-0.452,-1.162,-1.384,25.879,24.963,-20.020
-0.565,-1.147,-1.400,34.241,3.845,-23.315
-0.646,-1.172,-1.560,40.344,-16.541,-25.879
-0.772,-1.196,-1.628,47.546,-39.490,-23.499
-0.898,-1.182,-1.623,46.387,-57.922,-12.146
-0.973,-1.175,-1.738,36.499,-69.397,4.700
-1.083,-1.088,-1.677,29.785,-76.660,21.240
-1.137,-0.965,-1.636,18.799,-80.566,34.790
-1.158,-0.808,-1.573,3.479,-90.820,44.617
-1.151,-0.673,-1.448,-8.423,-114.136,51.636
-1.138,-0.632,-1.407,-19.226,-143.494,56.885
-1.124,-0.586,-1.262,-28.748,-166.565,59.875
-1.096,-0.509,-1.076,-36.621,-184.753,61.157
-1.233,-0.426,-0.870,-44.861,-199.402,62.256
-0.965,-0.459,-0.610,-50.842,-203.491,64.331
-0.812,-0.503,-0.409,-52.856,-210.144,67.200
-0.735,-0.450,-0.230,-53.772,-217.712,63.049
-0.698,-0.394,0.030,-52.185,-225.525,59.875
-0.635,-0.444,0.366,-52.490,-235.840,59.021
-0.619,-0.503,0.641,-62.256,-240.479,59.692
-0.370,-0.601,0.946,-76.233,-233.521,64.941
-0.213,-0.713,1.178,-89.172,-223.083,73.242
-0.107,-0.815,1.396,-99.731,-213.684,78.308
0.031,-0.869,1.597,-104.675,-197.571,84.778
0.138,-0.906,1.782,-101.929,-177.856,88.623
0.250,-0.973,1.926,-93.262,-157.837,85.449
0.356,-1.060,2.055,-80.444,-140.442,77.881
0.450,-1.101,2.162,-64.026,-123.352,66.772
0.506,-1.105,2.274,-44.189,-103.821,53.406
0.567,-1.114,2.355,-22.766,-82.214,36.621
0.570,-1.162,2.307,-3.479,-55.847,17.273
0.552,-1.064,2.339,12.207,-29.419,-1.282
0.418,-1.107,2.205,25.391,-22.766,-2.686
0.325,-1.088,2.184,31.921,-2.686,-5.249
0.264,-1.081,2.122,36.194,16.296,-8.362
0.225,-1.079,2.070,38.330,35.889,-9.888
0.185,-1.053,1.988,38.269,55.786,-12.817
0.114,-1.024,1.875,38.940,73.181,-16.113
0.048,-1.033,1.780,41.931,87.708,-20.447
-0.037,-1.063,1.648,44.495,98.511,-24.353
-0.096,-1.048,1.512,46.753,110.779,-27.161
-0.133,-1.010,1.409,51.025,124.329,-29.053
-0.193,-0.974,1.307,55.237,136.292,-30.151
-0.281,-0.939,1.205,57.556,148.071,-30.334
-0.391,-0.938,1.049,59.814,159.180,-29.968
-0.479,-0.931,0.859,60.608,169.556,-27.893
-0.558,-0.895,0.665,58.838,177.185,-23.254
-0.610,-0.844,0.521,54.382,182.617,-16.602
-0.661,-0.776,0.387,47.852,185.669,-10.010
-0.704,-0.740,0.248,38.574,187.561,-6.531
-0.736,-0.727,0.075,30.212,188.354,-8.301
-0.727,-0.726,-0.105,28.259,187.378,-12.085
-0.660,-0.734,-0.235,29.053,184.021,-15.808
-0.629,-0.739,-0.359,27.588,177.795,-18.921
-0.622,-0.734,-0.427,25.330,173.035,-23.499
-0.638,-0.746,-0.470,24.048,169.617,-30.518
-0.706,-0.765,-0.528,22.522,165.588,-35.400
