aX,aY,aZ,gX,gY,gZ
-0.214,-0.829,-0.032,-2.808,40.649,0.977
-0.074,-0.826,-0.040,-0.488,43.823,-5.005
-0.033,-0.818,-0.117,-6.348,36.682,-6.104
-0.061,-0.795,-0.119,-12.146,29.968,0.000
-0.136,-0.741,-0.140,-15.015,28.625,10.193
-0.154,-0.678,-0.140,-15.503,33.020,24.475
-0.169,-0.823,-0.182,-14.954,38.574,33.875
-0.172,-0.727,-0.175,-17.273,41.016,36.438
-0.187,-0.770,-0.147,-13.611,47.913,39.307
-0.206,-0.806,-0.128,-9.644,49.988,40.344
-0.252,-0.830,-0.124,-8.972,46.021,33.020
-0.253,-0.834,-0.117,-9.094,36.133,18.250
-0.254,-0.721,-0.148,-8.118,27.954,3.723
-0.207,-0.730,-0.131,-4.089,25.269,-2.380
-0.199,-0.668,-0.159,-5.981,17.883,-6.348
-0.193,-0.611,-0.152,-6.958,15.747,-8.057
-0.141,-0.646,-0.139,-6.775,17.395,-4.456
-0.117,-0.569,-0.125,-13.000,15.991,-3.662
-0.062,-0.532,-0.109,-16.174,20.142,-1.526
-0.029,-0.551,-0.106,-22.400,23.315,6.165
-0.064,-0.566,-0.089,-29.175,26.123,13.550
-0.116,-0.567,-0.074,-31.738,29.907,18.433
-0.135,-0.558,-0.067,-33.081,33.386,21.118
-0.164,-0.555,-0.067,-34.546,33.691,18.616
-0.204,-0.559,-0.064,-34.729,32.104,11.230
-0.224,-0.550,-0.066,-35.645,29.724,3.479
-0.206,-0.557,-0.061,-37.231,25.757,-2.258
-0.245,-0.547,-0.075,-40.283,18.677,-6.592
-0.288,-0.597,-0.050,-41.443,15.015,-7.568
-0.335,-0.670,-0.040,-41.199,13.062,-9.827
-0.383,-0.742,-0.013,-43.152,8.911,-14.954
-0.439,-0.844,-0.006,-46.448,2.441,-19.287
-0.462,-0.970,0.028,-46.692,-1.343,-26.489
-0.489,-1.117,0.043,-45.715,-4.578,-32.410
-0.527,-1.307,0.072,-50.110,-6.531,-35.400
-0.568,-1.574,0.117,-56.641,-6.226,-41.809
-0.588,-1.874,0.171,-60.425,-4.456,-53.894
-0.638,-2.281,0.219,-62.012,-3.235,-70.068
-0.727,-2.755,0.246,-58.899,-3.357,-79.590
-0.840,-3.135,0.263,-47.119,-3.540,-72.998
-0.993,-3.393,0.275,-30.701,-4.395,-54.199
-1.115,-3.513,0.277,-17.456,-6.409,-31.555
-1.177,-3.573,0.258,-7.568,-9.705,-10.864
-1.209,-3.581,0.248,0.610,-14.832,7.874
-1.200,-3.512,0.246,8.850,-22.888,28.076
-1.149,-3.368,0.244,18.188,-34.119,49.744
-1.092,-3.167,0.270,26.917,-45.776,74.036
-1.037,-2.918,0.318,31.372,-54.749,97.229
-0.994,-2.721,0.359,32.227,-58.716,114.502
-0.970,-2.539,0.403,34.485,-56.824,127.075
-0.932,-2.349,0.426,39.917,-51.697,141.052
-0.895,-2.155,0.464,46.204,-46.387,159.302
-0.900,-1.943,0.511,52.917,-43.884,180.420
-0.863,-1.668,0.552,60.486,-40.344,198.853
-0.762,-1.411,0.544,65.125,-33.325,209.229
-0.680,-1.176,0.493,70.862,-26.489,215.210
-0.653,-0.937,0.459,81.360,-21.790,222.351
-0.613,-0.646,0.430,93.872,-18.188,228.394
-0.525,-0.344,0.377,101.379,-13.611,229.065
-0.400,-0.068,0.284,103.210,-7.202,224.182
-0.296,0.130,0.183,103.577,-1.343,217.834
-0.250,0.339,0.127,104.187,1.770,214.050
-0.228,0.546,0.066,105.408,3.662,211.609
-0.207,0.779,-0.011,107.971,6.531,208.374
-0.123,0.991,-0.043,109.985,11.475,203.979
-0.051,1.186,-0.094,106.140,11.536,199.646
0.026,1.374,-0.133,96.436,12.817,190.857
0.092,1.506,-0.139,86.365,16.174,181.702
0.100,1.593,-0.119,73.730,20.081,173.645
0.098,1.645,-0.084,55.481,22.156,161.621
0.121,1.681,-0.071,34.058,21.729,140.259
0.113,1.692,-0.063,12.024,16.602,110.291
0.081,1.656,-0.063,-5.920,10.864,76.660
0.022,1.587,-0.037,-15.015,6.104,40.344
0.003,1.572,-0.030,-16.602,-1.465,-1.404
0.020,1.577,-0.049,-13.733,-11.047,-46.997
0.001,1.567,-0.059,-10.986,-20.813,-91.797
0.001,1.579,-0.072,-10.071,-30.090,-134.521
0.051,1.554,-0.083,-11.780,-35.156,-174.011
0.083,1.520,-0.097,-14.526,-35.034,-201.050
0.048,1.527,-0.102,-22.644,-30.457,-212.280
-0.062,1.477,-0.088,-36.499,-21.790,-214.478
-0.170,1.389,-0.092,-57.312,-11.719,-215.210
-0.296,1.231,-0.076,-80.872,-2.930,-215.637
-0.468,0.958,-0.000,-100.159,4.395,-213.440
-0.677,0.652,0.095,-113.464,10.681,-208.862
-0.947,0.291,0.197,-125.977,10.986,-202.332
-1.193,-0.157,0.323,-141.052,3.235,-196.716
-1.386,-0.726,0.476,-155.457,-8.423,-194.946
-1.523,-1.354,0.603,-164.062,-22.156,-197.266
-1.560,-1.930,0.709,-161.804,-35.217,-200.073
-1.428,-2.383,0.781,-151.978,-45.227,-202.087
-1.215,-2.689,0.781,-138.794,-50.476,-199.402
-1.063,-2.938,0.775,-126.099,-49.194,-180.359
-0.951,-3.107,0.738,-113.220,-41.931,-146.851
-0.856,-3.129,0.687,-100.037,-31.372,-110.718
-0.737,-3.027,0.619,-86.304,-20.386,-83.313
-0.612,-2.892,0.535,-72.449,-10.803,-66.406
-0.523,-2.763,0.459,-60.974,-6.836,-52.673
-0.472,-2.634,0.407,-48.645,-8.606,-42.969
-0.396,-2.507,0.371,-32.043,-13.123,-40.283
-0.371,-2.397,0.335,-12.085,-20.142,-40.405
-0.365,-2.258,0.311,6.775,-27.222,-42.786
-0.350,-2.093,0.295,21.240,-30.457,-47.302
-0.320,-1.975,0.286,30.579,-29.053,-51.880
-0.309,-1.914,0.277,33.630,-24.414,-55.237
-0.277,-1.850,0.267,36.682,-16.785,-55.542
-0.269,-1.741,0.245,40.710,-8.179,-50.232
-0.297,-1.641,0.213,41.809,-2.014,-41.016
-0.331,-1.557,0.189,36.926,1.465,-30.640
-0.355,-1.505,0.182,27.344,3.052,-23.010
-0.356,-1.497,0.171,20.569,3.845,-18.921
-0.347,-1.500,0.167,16.296,3.601,-12.695
-0.337,-1.481,0.164,15.381,1.831,-4.578
-0.317,-1.436,0.162,17.029,-0.610,0.671
-0.300,-1.392,0.167,19.409,-2.380,2.686
-0.276,-1.350,0.179,21.912,-3.296,1.404
-0.238,-1.323,0.184,23.987,-3.174,-0.427
-0.179,-1.269,0.177,25.452,-1.221,1.038
-0.295,-0.956,0.028,-0.061,0.549,2.563
-0.298,-0.953,0.029,-0.488,0.854,3.235
-0.301,-0.948,0.029,-0.305,0.671,2.136
-0.303,-0.934,0.027,-0.183,0.366,0.916
-0.302,-0.918,0.024,-0.122,0.000,-0.427
-0.296,-0.905,0.021,-1.038,-0.122,-1.038
-0.294,-0.898,0.024,-1.831,-0.305,-1.099
-0.293,-0.899,0.027,-2.441,-0.061,-1.282
-0.292,-0.903,0.037,-2.991,0.366,-1.648
-0.285,-0.897,0.036,-4.456,0.671,-2.686
-0.277,-0.909,0.043,-5.615,0.977,-2.869
-0.270,-0.918,0.049,-6.348,1.892,-2.441
-0.263,-0.926,0.052,-7.629,2.991,-1.221
-0.257,-0.928,0.063,-7.812,4.089,-0.610
-0.259,-0.930,0.071,-7.812,5.249,-1.465
-0.257,-0.927,0.080,-8.057,6.104,-3.845
-0.263,-0.931,0.089,-8.911,7.141,-6.287
-0.271,-0.945,0.099,-10.010,8.179,-8.301
-0.279,-0.961,0.106,-11.902,9.399,-8.667
-0.290,-0.996,0.113,-13.062,10.681,-8.667
-0.313,-1.038,0.120,-14.038,12.024,-8.728
-0.344,-1.078,0.122,-15.442,13.306,-7.874
-0.381,-1.128,0.122,-16.846,13.794,-5.981
-0.404,-1.191,0.119,-18.738,13.184,-5.127
-0.421,-1.285,0.118,-19.348,11.597,-6.042
-0.421,-1.370,0.116,-17.822,10.071,-6.409
-0.425,-1.411,0.100,-15.869,8.911,-5.676
-0.426,-1.427,0.068,-16.418,6.775,-5.493
-0.398,-1.457,0.026,-18.921,4.517,-5.310
-0.370,-1.542,-0.003,-24.170,1.343,-3.601
-0.356,-1.646,-0.005,-30.457,-2.686,0.854
-0.396,-1.774,-0.018,-39.307,-9.460,7.568
-0.430,-1.931,0.040,-50.171,-16.479,12.390
-0.420,-2.155,0.105,-58.472,-20.569,17.639
-0.424,-2.408,0.201,-66.711,-24.353,21.118
-0.436,-2.652,0.276,-70.679,-27.100,26.306
-0.402,-2.850,0.345,-67.383,-27.771,36.743
-0.398,-3.023,0.406,-57.983,-27.466,51.880
-0.410,-3.111,0.461,-42.297,-24.414,69.275
-0.448,-3.168,0.518,-23.926,-20.325,86.853
-0.534,-3.176,0.577,-4.822,-14.099,102.051
-0.613,-3.259,0.604,19.531,-6.897,110.901
-0.692,-3.088,0.615,39.246,-2.563,123.352
-0.777,-2.905,0.579,65.063,1.160,134.216
-0.929,-2.721,0.574,96.558,4.089,144.714
-1.130,-2.518,0.567,122.803,5.432,156.494
-1.294,-2.214,0.516,148.743,6.165,169.922
-1.428,-1.875,0.430,173.584,2.991,182.922
-1.545,-1.503,0.364,197.327,-2.991,192.200
-1.614,-1.043,0.292,220.398,-13.672,195.557
-1.632,-0.529,0.255,240.173,-30.029,196.777
-1.621,-0.011,0.278,253.052,-50.903,201.904
-1.591,0.501,0.333,259.094,-72.571,208.313
-1.503,1.021,0.406,261.169,-92.651,214.172
-1.363,1.535,0.486,261.169,-112.427,219.055
-1.147,2.031,0.561,256.226,-130.127,223.694
-0.793,2.537,0.595,246.704,-138.489,225.159
-0.386,2.917,0.581,230.042,-136.841,225.525
-0.005,3.123,0.600,202.515,-128.601,226.685
0.256,3.202,0.654,164.978,-118.347,222.107
0.429,3.214,0.698,124.146,-105.835,205.994
0.618,3.157,0.695,84.961,-88.684,174.255
0.742,3.057,0.703,47.119,-67.810,126.892
0.722,2.960,0.679,13.733,-46.631,66.345
0.644,2.809,0.667,-12.268,-23.560,-2.930
0.537,2.623,0.635,-37.354,-3.479,-70.068
0.395,2.424,0.613,-63.782,10.071,-126.038
0.237,2.197,0.596,-88.745,19.775,-173.462
0.085,1.935,0.590,-112.183,28.442,-214.844
-0.063,1.618,0.548,-131.531,40.588,-248.657
-0.225,1.308,0.501,-144.592,56.946,-270.630
-0.445,1.010,0.492,-154.175,72.388,-283.142
-0.728,0.634,0.478,-160.889,86.243,-289.551
-1.122,0.060,0.521,-169.556,100.708,-287.109
-1.578,-0.771,0.504,-185.303,104.980,-278.687
-1.820,-1.527,0.408,-190.430,102.417,-265.442
-1.890,-2.231,0.286,-178.711,91.797,-251.282
-1.907,-2.851,0.210,-161.194,69.336,-236.755
-1.848,-3.281,0.145,-144.470,44.128,-221.741
-1.652,-3.703,0.089,-131.104,26.917,-201.050
-1.452,-4.000,0.033,-117.615,21.362,-172.729
